cycle,tokens,avg_active_features_per_token
0,51200,59.03322265625
1,51200,98.01791015625
2,51200,92.805
3,51200,86.99869140625
4,51200,83.28236328125
5,51200,81.18158203125
6,51200,79.6379296875
7,51200,78.00869140625
8,51200,77.52814453125
9,51200,76.767734375
10,51200,76.349921875
11,51200,76.22373046875
12,51200,75.50232421875
13,51200,75.48671875
14,51200,75.32935546875
15,51200,75.07947265625
