cycle,rank,feature,cycle_firing_frequency,global_firing_frequency,specificity,cycle_mean_activation
0,1,1715,0.51544921875,0.035399169921875,0.4800500488281251,7.978826208114624
0,2,599,0.49759765625,0.031099853515625,0.466497802734375,1.618636577129364
0,3,286,0.45,0.028157958984375,0.421842041015625,1.5091620683670044
0,4,589,0.47140625,0.127547607421875,0.34385864257812504,0.08896136954426766
0,5,1637,0.385546875,0.120540771484375,0.26500610351562504,0.09059501856565476
0,6,1800,0.3514453125,0.114754638671875,0.23669067382812498,0.03483217276632786
0,7,1292,0.3561328125,0.14328857421875,0.21284423828125001,0.05234263852238655
0,8,879,0.325859375,0.13158447265625,0.19427490234375,0.09905076816678048
0,9,1197,0.3425390625,0.15280517578125,0.18973388671875,0.2158133640885353
0,10,639,0.28779296875,0.100604248046875,0.18718872070312498,0.07018104583024978
0,11,1303,0.21337890625,0.0324072265625,0.1809716796875,0.14930394917726517
0,12,1667,0.194140625,0.032314453125,0.161826171875,0.21910131603479385
0,13,965,0.18435546875,0.02719482421875,0.15716064453125,0.12362192004919052
0,14,566,0.18509765625,0.033206787109375,0.151890869140625,0.15493271946907045
0,15,1757,0.1907421875,0.039156494140625,0.151585693359375,0.12904340848326684
0,16,1671,0.25439453125,0.106734619140625,0.147659912109375,0.06681679725646973
0,17,660,0.19900390625,0.05439697265625,0.14460693359375,0.1359816785156727
0,18,1346,0.1891015625,0.05047607421875,0.13862548828125,0.12472672134637833
0,19,783,0.17431640625,0.0455078125,0.12880859375,0.14816846147179605
0,20,1140,0.26302734375,0.137894287109375,0.12513305664062496,0.22018750488758088
0,21,1132,0.25603515625,0.1332958984375,0.1227392578125,0.05226767268031836
0,22,451,0.1900390625,0.071024169921875,0.11901489257812499,0.16594647556543352
0,23,1753,0.1744140625,0.0666845703125,0.1077294921875,0.14843027293682098
0,24,1425,0.1579296875,0.055120849609375,0.102808837890625,0.06649640828371048
0,25,1780,0.16546875,0.0668017578125,0.0986669921875,0.16505305528640746
0,26,1856,0.2103125,0.11939697265625,0.09091552734375001,0.0345141115039587
0,27,1189,0.14099609375,0.05343505859375,0.08756103515625,0.030626321751624344
0,28,944,0.0975390625,0.01018798828125,0.08735107421874999,0.04158517878502607
0,29,432,0.1166796875,0.031153564453125,0.085526123046875,0.05523128755390644
0,30,1453,0.1251953125,0.05202880859375,0.07316650390624999,0.07210176937282085
0,31,1151,0.11302734375,0.042161865234375,0.070865478515625,0.06308842100203037
0,32,801,0.15189453125,0.081248779296875,0.07064575195312499,0.05118919417262077
0,33,1244,0.13599609375,0.067587890625,0.068408203125,0.044236212968826294
0,34,1582,0.1921875,0.12908447265625,0.06310302734375,0.1924674117565155
0,35,907,0.1378125,0.078089599609375,0.059722900390625,0.04642434243112802
0,36,254,0.07783203125,0.020189208984375,0.057642822265625004,0.03574217613786459
0,37,993,0.1258984375,0.0683642578125,0.05753417968749999,0.05370517462491989
0,38,408,0.095625,0.044366455078125,0.051258544921875,0.0698999896645546
0,39,181,0.1280078125,0.077274169921875,0.050733642578125016,0.03931451570242643
0,40,1904,0.1512109375,0.100867919921875,0.05034301757812501,0.11933718249201775
0,41,318,0.09919921875,0.0545166015625,0.044682617187499996,0.03353078439831734
0,42,1041,0.13833984375,0.0947802734375,0.04355957031249999,0.035737715251743796
0,43,1486,0.12818359375,0.087265625,0.04091796874999999,0.025270444308407605
0,44,356,0.12388671875,0.08393310546875,0.039953613281249994,0.05831302486360073
0,45,1961,0.12822265625,0.09048583984375,0.03773681640625001,0.10029087811708451
0,46,1527,0.1323046875,0.097510986328125,0.034793701171875,0.09474904879927636
0,47,199,0.12716796875,0.093236083984375,0.033931884765625,0.029684747755527496
0,48,1202,0.12607421875,0.09416015625,0.03191406249999999,0.04156374879181385
0,49,137,0.093125,0.0621728515625,0.0309521484375,0.05145631358027458
0,50,135,0.125234375,0.09473388671875,0.030500488281250016,0.1125565068423748
1,1,1486,0.59162109375,0.087265625,0.50435546875,0.21174387723207475
1,2,876,0.507265625,0.094691162109375,0.41257446289062505,0.2416399772465229
1,3,12,0.4501953125,0.187266845703125,0.262928466796875,0.18125580325722696
1,4,1069,0.38009765625,0.164466552734375,0.21563110351562503,0.10325688838958741
1,5,375,0.2179296875,0.084608154296875,0.133321533203125,0.048996053822338584
1,6,1030,0.25388671875,0.120625,0.13326171875000004,0.0658258556574583
1,7,801,0.20205078125,0.081248779296875,0.120802001953125,0.051186464056372644
1,8,1346,0.16822265625,0.05047607421875,0.11774658203124999,0.0485398954898119
1,9,1453,0.1634765625,0.05202880859375,0.11144775390625,0.05999227903783321
1,10,32,0.20876953125,0.097554931640625,0.111214599609375,0.053762259483337405
1,11,808,0.23234375,0.1245751953125,0.10776855468749999,0.06723761111497879
1,12,451,0.176328125,0.071024169921875,0.105303955078125,0.06872372888028622
1,13,1780,0.17021484375,0.0668017578125,0.10341308593750001,0.07428535468876361
1,14,1904,0.20392578125,0.100867919921875,0.103057861328125,0.09256750360131263
1,15,298,0.19732421875,0.09440185546875,0.10292236328125,0.047961375638842584
1,16,1667,0.1258984375,0.032314453125,0.09358398437499998,0.042636207528412344
1,17,1132,0.2265625,0.1332958984375,0.0932666015625,0.051809980534017086
1,18,843,0.2683203125,0.1751513671875,0.0931689453125,0.10672078415751457
1,19,193,0.18669921875,0.098082275390625,0.088616943359375,0.06943196266889572
1,20,670,0.18900390625,0.100584716796875,0.08841918945312499,0.039949587062001225
1,21,796,0.19056640625,0.102716064453125,0.08785034179687498,0.053423759341239926
1,22,1086,0.20833984375,0.121064453125,0.087275390625,0.07260944314301014
1,23,1151,0.129375,0.042161865234375,0.08721313476562499,0.04426174480468035
1,24,1755,0.177734375,0.091346435546875,0.086387939453125,0.057407610826194284
1,25,746,0.18341796875,0.09826171875,0.08515624999999999,0.045516251660883425
1,26,576,0.21541015625,0.1304443359375,0.08496582031250002,0.06354397729039192
1,27,1483,0.16265625,0.07914794921875,0.08350830078125,0.06489305274561047
1,28,660,0.13740234375,0.05439697265625,0.08300537109374999,0.018922138288617135
1,29,435,0.19724609375,0.114688720703125,0.082557373046875,0.054071317911148074
1,30,1529,0.24787109375,0.166075439453125,0.08179565429687499,0.1135628978908062
1,31,362,0.1562890625,0.074622802734375,0.081666259765625,0.03307411920279264
1,32,707,0.1335546875,0.052464599609375,0.081090087890625,0.04388956056907773
1,33,502,0.249375,0.16841796875,0.08095703125,0.09662208884954453
1,34,135,0.17462890625,0.09473388671875,0.07989501953125,0.12466725543141365
1,35,1604,0.16462890625,0.08549560546875,0.07913330078125001,0.03576145738363266
1,36,1416,0.17755859375,0.098944091796875,0.078614501953125,0.05621798105537892
1,37,1961,0.16853515625,0.09048583984375,0.07804931640625001,0.09059356063604355
1,38,1684,0.15876953125,0.08154052734375,0.07722900390625001,0.03338627927005291
1,39,1720,0.1681640625,0.091876220703125,0.07628784179687499,0.03250766322016716
1,40,1442,0.18119140625,0.105445556640625,0.075745849609375,0.06269907832145691
1,41,1300,0.16619140625,0.091986083984375,0.07420532226562501,0.08382773131132126
1,42,295,0.19978515625,0.125836181640625,0.07394897460937502,0.04980526261031628
1,43,541,0.1321484375,0.0596630859375,0.0724853515625,0.0452822045236826
1,44,190,0.130546875,0.05832763671875,0.07221923828125001,0.037059038318693636
1,45,199,0.16537109375,0.093236083984375,0.07213500976562501,0.040865775309503076
1,46,147,0.14025390625,0.068128662109375,0.072125244140625,0.037784227393567564
1,47,1310,0.152578125,0.0811865234375,0.0713916015625,0.07607023619115352
1,48,463,0.15732421875,0.086416015625,0.070908203125,0.0455764277279377
1,49,556,0.1801953125,0.10940673828125,0.07078857421875001,0.04268262878060341
1,50,211,0.25474609375,0.18412353515625,0.07062255859375002,0.10817295417189599
2,1,876,0.4287109375,0.094691162109375,0.334019775390625,0.1656028510630131
2,2,170,0.2819140625,0.1421533203125,0.1397607421875,0.08984477423131466
2,3,808,0.25662109375,0.1245751953125,0.13204589843749998,0.07164700396358967
2,4,771,0.29806640625,0.180670166015625,0.11739624023437503,0.11998232696205377
2,5,1069,0.254296875,0.164466552734375,0.08983032226562498,0.06520934350788593
2,6,1607,0.18736328125,0.10296630859375,0.08439697265625001,0.04629937678575516
2,7,421,0.21583984375,0.13238525390625,0.08345458984375001,0.06142458699643612
2,8,375,0.1599609375,0.084608154296875,0.07535278320312501,0.033276407523080705
2,9,493,0.1648046875,0.090904541015625,0.07390014648437498,0.043024716153740886
2,10,252,0.25330078125,0.18085205078125,0.07244873046875,0.15580598928034306
2,11,858,0.1805859375,0.10843505859375,0.07215087890625,0.04234114862978458
2,12,12,0.25875,0.187266845703125,0.07148315429687499,0.07718400724232197
2,13,1264,0.18181640625,0.112156982421875,0.06965942382812501,0.05122949600219726
2,14,1593,0.1986328125,0.128988037109375,0.069644775390625,0.06846554420888423
2,15,1963,0.19267578125,0.125341796875,0.06733398437500002,0.06730251513421535
2,16,607,0.1692578125,0.10239990234375,0.06685791015624999,0.04132723845541477
2,17,1240,0.17537109375,0.10900390625,0.06636718750000001,0.09434384532272816
2,18,211,0.24939453125,0.18412353515625,0.06527099609375,0.10378767862915993
2,19,801,0.14544921875,0.081248779296875,0.064200439453125,0.028952755369246005
2,20,295,0.18724609375,0.125836181640625,0.06140991210937502,0.05356623224914074
2,21,1410,0.1441015625,0.088914794921875,0.055186767578125004,0.03929164126515389
2,22,1050,0.1959765625,0.14243408203125,0.053542480468750014,0.04966378428041935
2,23,47,0.1319921875,0.079830322265625,0.05216186523437499,0.031554979495704176
2,24,1135,0.16509765625,0.1134326171875,0.0516650390625,0.03913428883999586
2,25,576,0.18185546875,0.1304443359375,0.05141113281250001,0.046695033125579356
2,26,924,0.1675,0.116234130859375,0.051265869140625,0.060663241893053055
2,27,1879,0.19833984375,0.14782470703125,0.05051513671874999,0.04792407318949699
2,28,113,0.14408203125,0.094259033203125,0.049822998046875,0.03432256516069174
2,29,604,0.14513671875,0.09601318359375,0.04912353515625001,0.036971921119838956
2,30,1840,0.15142578125,0.102344970703125,0.049080810546875006,0.0434558092430234
2,31,1192,0.1783984375,0.129815673828125,0.048582763671875,0.07285599201917649
